,0
1265,"Clean vehicle, competitive price and polite and smart driver.
Would and have used this service again and happy to recommend as part of a holiday or business trip."
1266,"My flight from London to Malaga was delay and hence the coach left as it was delaying other passengers waiting, but upon arrival other travel arrangements had been done! Amazing service! A very courteous driver and an extremely comfy car was waiting for me. Top service!"
1267,"After a long flight the driver was there to meet us at the airport arrivals, friendly and so patient... we were organising 20 people on two buses so it was a bit of messing around by us...
We had 2 buses and both drivers were excellent; everything ran perfectly so very happy with the service and will definitely use next time we come here. Highly recommended."
1268,I was able to book the transfer 15 hrs before we landed. 10/10 & we will use thus company again
1269,"Excellent service. On time, pleasant drivers, good price! Highly recommended them."
1270,Driver was waiting for us with name on sign in plain view when we landed. He was polite and courteous and we arrived at our destination in no time. On return driver was again there waiting as we stepped out of the apartment again smooth transition.
1271,Very pleasant experience. Totally professional & punctual. 5*
1272,Everything great. Excelent driver
1273,"Excellent service. Fantastic drivers. Efficient, professional and friendly"
1274,Top service
1275,"Although I paid for a mini van, because we had 4 people and 7 luggage cases, the car that came to Faro airport was a normal taxi. The driver had to contact the office to ask for a mini van. So we had to wait until he arrived which was quite a while. Not a good start!!😞. We asked the driver to make sure that the mini van would pick us up for the return journey to the airport! Guess what turned up, not a mini van, but a large car. Yes, the driver did get all the cases, but that is not the point l did not get what I paid for.😡"
1276,Simple booking at a good price. Great communication on both days from office and drivers confirming pick up locations and times. 2nd time using them. Would definitely recommend.
1277,Highly satisfactory
1278,Bang on time. Fabulous friendly drivers.
1279,Friendly and helpful drivers prompt both coming and going definitely use them again.
1280,Perfect service!!
1281,"On time, polite driver, clean car."
1282,Fantastic service much cheaper than the taxis at the airport. Very easy to book. My plane was delayed an hour but the driver was there rang me as soon as I went through passport control to say where he was. Very very helpful and friendly carried my bags all in all brilliant experience will definitely be recommending this firm to all my friends and will use again
1283,Fantastic easy service. Booking process is easy.
1284,We had two different drivers for our arrival and departure. They were both prompt and quite friendly. Will definitely be using them again.
1285,"On time and a good driver. Driver did not speak English, but that was fine with me...after a long trip the peace and quiet was great."
1286,"The driver was reliable and punctual - most important!!!
Communication was difficult, spoke neither German nor English.
Driver did not answer his cell phone when I wanted to confirm arrangement which was cause for concern.
Would be happy to use this service again if needed."
1287,"Both drivers arrived earlier than required so waiting about, clean vehicles and pleasant drivers"
1288,Prompt and on time for both journeys...very clean vehicles and driver very polite
1289,"Apologies I cant remember our drivers name! He was brilliant, Thoroughly enjoyed his history knowledge, would book again if I'm ever back"
1290,Excellent service and easy to use
1291,good services and drivers very friendly.
1292,"Highly recommended, the drivers were so nice and the bus itself was top notch!!!!"
1293,"Driver was waiting as we arrived with our name easily visible through the crowds. He was very nice and the vehicle was great. It was an amazing experience, I will definitely book again!"
1294,"Not having used you before and given the current situation, we were a little worried that something would go wrong but driver was there few minutes early so we did not have chance to worry. After booking we recommended you to friends at Palm Mar but apparently you were not able to accommodate. We would use your service again."
1295,"Very good service. Booked for a transfer from Vienna airport. Excellent communication throughout the process. Friendly drivers, quality cars and efficient process, all at a very reasonable price. I would definitely use this company again and would recommend their service."
0,"Uber needs to make additional progress on safety issues. Be it for the driver as well as for the rideshare. I’m an occasional female Uber driver. I can say firsthand that driver safety is the last thing on their mind. I got a request to pick up Joe **. Once there I see 6 big built male passengers walking towards my vehicle. I rolled down the window and asked Joe ** to identify himself, and he does. He said Uber told them my vehicle can fit 6 people. My vehicle only fits 4 passengers! Uber Drivers have no idea how many passengers are being picked up. Uber should take measures to avoid possible dangerous situations."
1,"I've never had a problem with Uber until last night. I scheduled a ride last night and it cost $12.00. When I called for a pickup they told me it would be a while and that the price went from $12.00 to $40.00 because they were busy, what B.S. So I wheeled my friend and her wheelchair at night in the dark at 12 midnight through a bad area because no one was available to pick me up and I only had enough money for the original price of $12.00. Being a female with a disabled person in a wheelchair was a very dangerous situation. I really think Uber stinks because of this."
2,After an event the longer you wait to call Uber the cheaper it gets. Or if you walk away from the event to another place that is away from the event then call. They will almost always ask what kind of music you like.
3,"Uber is so inconsiderate. Pool at peak time costs 12$-14$ for 3 miles!! Maximum time is is so cumbersome to get a ride and on top of it very stingy to offer something nice. Does not uber strive for excellence and customer service? Good algorithm, good service and good deals for extensive using customers will be a business growth strategy. What’s going on??"
4,"I've been a Uber driver for a year as a contractor. I rate Uber management system and support team for the drivers. Uber makes the job so stressful for the drivers by its rating system, there's no investigation about the rating has had a logical reason or just a drunk or hallucinated passenger has made a false report of safety issue about a driver. I am a middle age lady with 30 years driving experience with no fine or any accident on my driving history, my driving account become deactivated by Uber because of false safety report. Uber charges passengers in a high fee rate but pays a little to drivers who has put their life and car in front line of various danger."
5,I took Uber in July and suddenly I receive a charge on my credit card October 26. They are billing people for June and July!!!! I received a receipt in July. How is this possible? The number on the credit card receipt for Uber isn’t a valid number.
6,"First time using Uber on a very busy NBA All Stars day in Charlotte, NC. We needed to get to the train station so decided to use Uber - the driver took a little while to get to us (no fault of his due to all the security all around) but once he found us he was very cordial - price was right - no complaints."
7,"Today we used the Uber app to try to get a ride to work for my daughter. After request, the phone rings and it is the requested driver informing us that because of the weather (winter in Michigan) it would cost us a surcharge of $20 because he had to switch from his car to his truck. I do not see how his switching vehicles becomes our financial burden. Uber needs to set limits on things and not allow their drivers to charge customers what they want. They already started charging more in general, now service charges before you even get a Uber. Sucks, this used to be a good service."
8,"My complaint turned out to be incorrect, and I am very sorry for that.  I had been fixed, and it was nothing that Uber had did. I was handled fast.  I have to give them a top rating for helping me to fix the issue.  I have used them many of times all over the US, and it has been perfect each time.  Thanks."
9,"This happened on 02/06/2020 - So the car I drive has been having some issues and I needed to drop it off at my local Burt Brothers. I didn't have a way to get back home so I thought I would use an Uber gift card I got from my work to help me get home. Oh, I WISH I had gone with Lyft. Issue number one - Uber's navigation decided to go out so I had to be ""Siri"" and guide my driver to my home (not a huge issue since it wasn't too far away). Issue number 2 - I go to give my driver a tip and rate him and again, Uber systems are down and acting crazy. Issue number 3 - For an 8.5-mile drive, I got charged $33.00 when it should have been $15.00 (thank GOD I used a gift card and not a debit card!)"
10,"Uber's customer service is horrific and nearly impossible to use when in need of solving something quickly - or at all. The lack of responsibility that this company takes with its clients is awful and if Lyft were in Mexico, I would use it instead. As such, I will never use Uber again. Uber needs better security for its riders against theft, especially in countries that have little to punishment for crimes."
11,"First ** time I called you, my drivers says, ""I can't make it. Cancel it. You wont be charged."" I cancelled it, I was charged. ** horse ** Richland, Miss. Jackson, Miss. area... He told me to cancel it. Like why did you take the job if you couldn't do it. Oh so you could make 5 dollars for doing nothing. Piece of **. Nissan Altima."
12,"How is it possible for Uber to auto sign me up for a 14.99 pass to ride once a month without any proof and my signing or clicking anywhere. I have tried to call the thieving company, have tried leaving bad reviews and hoping to get an email or a call. There are no phone numbers to get them or emails anywhere. I am now calling up my bank to return the charge and have disabled my app and will never never never use them again. What a crock or horse poop! Show my one strand of proof I signed up for this and how dare you charge me without me being able to call you."
13,Using this is convenient. I like the fact that sometimes when I don't want to drive I can use Uber to get where I need to go. The only thing I dislike is when you share rides you have to meet at a certain location and it confused the consumer so that could be straightened out. I think it would really help a lot of people when you're sharing rides and you're on a budget according to your financial status does. This would help improve when consumers and how they use Uber in the future.
14,"We ordered an Uber car to get to a concert. They said they would be there in four minutes. We received a text he was there. As we went out the driver called that his GSP took him to the wrong place. As we are waiting my friend gets a text the driver cancelled!!! As she was trying to see what happened to the money she had just paid she was charged for the cancellation!!! We didn’t cancel, the driver DID!!! Call a cab. It is quicker & CHEAPER!!!"
15,"I send for an Uber service and they gave me a price. After arrival, I ended up paying $25.00 more. This is the first time it has happen. I will never ride Uber again. People should know the final amount before accepting the service."
16,Thrifty for short trips when you have limited time and no car. Longer distances can be pricey and I generally like cheaper bus or rail if available. Or sometimes you can rent a car for a day for $15 or less.
17,"On Sunday I booked an Uber from Ghatkopar to Vasai at 9 pm. The Uber driver's name was Anand, white wagon R. He arrived on time. When he arrived he asked me where the drop was. I told him it was Vasai so he said he couldn’t travel that far because he stays in Panvel and needs to go home. I asked him why did he take the booking then he said he didn’t know the drop location. Then I was stern that I will not cancel the booking so he said that someone was unwell at his home so he had to go urgently (I know he was lying). "
18,"Uber's human customer service for riders is deliberately non-existent. The only service offered is via the app. There is no way to send email to Uber describing a problem. There is no way to send feedback to Uber except via the app, and then only tightly restricted responses are possible. I somewhat get it. There are countless millions of Uber riders, and Uber does not want to spend money reviewing random complaints. But I have found no way to provided feedback for a very serious problem."
19,"I linked my credit card to Uber for Epayment purpose but after my travel on 09/08/2018 Driver ask me to pay and I told him I linked my card. It will deduct from my card and driver said that, “I am not received money. Please pay cash,” hence I paid cash. Now again they deduct from my card also. When I contact help center of Uber they told that cash exchanged outside the Uber system cannot be recorded hence we cannot take account and cannot adjustment are refund."
20,Don’t use Uber. If you need a ride use Lyft. Uber has left me stuck in the middle of nowhere. I put $25 on my account and I can’t even use it. They locked my account for no reason at all. I can’t even get my money back. I try to email them and I get the same response over and over again. I will never use this crap anymore. Uber sucks.
21,"First off, the drivers are amazing. For one company to have so many positive and professional employees is amazing. However, I am certain that their awesomeness is not a result of the trickle down effect. I know this because, when it comes to Uber's corporate staff, customer service does not exist; literally! Their one flaw that I've observed in every driver is directly the daily of Uber executives. That flaw is poor GPS technology. Nearly every GPS app (including Waze and Lyft) is superior to Uber. This is a problem that would have been solved if the company had a customer service strategy and department worth mentioning."
22,"1st Trip on 31 December 2018 @ 16:30 - Trip Number: 2nd Trip on 1 January 2019 @ 03:00 - Trip Number: 1st Trip from home at 7 ** Street, Winchester Hills to ** Mount Street, Bryanston. Driver: Xolani Passengers: two Cost of Trip = R275. Trip cost was shown before accepting the Uber ride. 2nd Trip from ** Mount Street, Bryanston Driver: Peter Passengers: two Cost of Trip (Charged Twice) 1st Charge R863.00 2nd Charge R865.0 15 Minutes after arriving home, the R863.00 was reversed. Trip cost was not shown before accepting the Uber Ride."
23,"I gave a tip to a driver and he was almost very thankful, told me it is rare to get a tip because Uber does not encourage it. Most everyone should be encourage to tip if the service is provided."
24,My issue with Uber is they quote you a price when you complete your trip and days later the price is different. They don't tell you anything. I started using one card just for them that is how I found out and if you check your receipt it's says wait time or toll surcharge and fees. This is robbery and they need to stop. The drivers are saying they arrive and most of the time they are in the wrong place or they drop you off in the wrong place and pretend they did not hear you say no it's over there. That's stealing.
25,Your diver was not professional. He came very late for pick up. He took 15 minutes for 3 kilometers and he is not ready to understand my problem. I face very bad experience. Early morning empty roads of Chandigarh he took 15 minutes. OMG. 6:30am I did my booking. 6:45 he came to pick me up. It is hardly 2 minutes distance. From driver location to my pick point location. It was madness that I trust on your company and your professional drivers.
26,Far too overpriced. A ride of less than 10 miles is more than $25. I live in the 5th largest city in America so not sure if this posts a part? This is my biggest reason for not utilizing the service more.
27,"I’m a Uber Driver. I got a request on my app, I picked my passenger from Brooklyn, NY to Union City NJ and I paid the tolls. After I dropped off the passenger to the same address I have on my app I received a message from Uber that my fare been adjusted to $ 0.00 because it was a wrong rider (by the way it was same name, pick up & drop off location). What should I do next time? Take a copy of the rider ID. EVEN THE TOLLS I PAID FROM MY POCKET. IS THAT FAIR?"
28,I’m going on day two of being an Uber driver and I hate it. Uber pays you less to do long distance drives and they don’t follow through with their promises. Before I get into that my biggest complaint is the navigation system. It’s inaccurate and very slow. They try to blame your phone service but if it were my service then my maps on my phone or the Waze app (which is what I use on the daily) would glitch out as well.
29,Uber has been ripping its drivers off and need a class action lawsuit against them for doing so on several occasions. I've reached out to them about trips I completed with them and never got paid for. I completed a delivery and was not paid for doing so on several occasions and the customer service sucks and require us to email them to get help. They ask you to wait 24/48 hours to be paid but they never pay you.
30,If I could give no stars- I would. UBER and customer support a zero. UBER charged more than what I was quoted. The map Uber gives their driver from the pier to Long Beach Airport was wrong. No airplanes in site following the UBER directions. We were going in circles. I finally pulled out my maps TO direct driver to correct location. Obviously UBER directs their drivers to the wrong location all the time. The address is a commercial business not LONG BEACH AIRPORT. The business made a commercial sign to tell UBER drivers this is not the LONG BEACH AIRPORT.??? It appears UBER is charging me an additional fare to go around in circles. It's a good thing I requested a ride hours before my flight. And all the agents in customer support are donkeys. How hard is it to understand what I just said. They have not adjusted my fare.
31,My daughter's Uber account was hacked and you cannot find a single number or chat to have a conversation with Uber directly anywhere. Uber appears unreachable unless you have a safety issue with a driver...otherwise they appear completely unreachable by design.
32,"My first experience did not go well. I’m in Waikiki and needed a ride from a hotel to a restaurant for a scheduled luncheon. The app worked well and the driver was to arrive in 3 minutes. There were pick-up time adjustments as the 3 minutes passed and 15 minutes elapsed. We are now late for the luncheon when a text is received from the driver that he cancelled our ride. A new Uber request is sent and a driver dispatched with a, ""be there in 3 minutes."" No Uber after 6 minutes; however, the driver telephoned to indicate she was lost but should arrive soon. We stayed in touch by phone discussing her locations location as updates were provide. The car finally arrived and on our way to the luncheon arriving 50 minutes late. My return to the hotel from the restaurant went well."
33,Disgustingly poor customer service. Responses in the app seem to come from robots because I received the same response 5 TIMES to my initial inquiry and follow up responses. It seems like there are no humans that actually write back to you. I tried to get help from their support account Twitter handle but of course it was disgustingly unhelpful as well where I was told to just keep going back and forth with these robots responding in the app. I guess I’m never going to get my issues resolved which means I’m losing money. Despicable way to treat customers.
34,"INCORRECT trip. I've sent many proofs to confirm this wasn't my trip. The pickup was ** to 59 Canal. Driver was stuck in traffic downtown Brooklyn by the Barclay, my son missed his 9 pm bus to go back to school, so I canceled the trip. The driver tried to extort my then 17 yr old son for cash to bring him back. I spoke to her on the phone. She told me to order another car so she can intercept it, I said ok. She then changed her mind and kicked my son out in the middle of nowhere downtown BK. ANYTHING COULD'VE HAPPENED TO MY SON! Now I'm stuck with this bill after I paid what I owed on top of that. I've tried to resolve this many times but, to no avail. And the driver reported a bogus trip."
35,"Driver was lost and could not speak any English. I was going to my first job and it was my first day. I got there a half hour late. Driver made me feel very uneasy. I tried to call Uber customer service, it was very difficult for me to find their phone number. When I finally found their number and called them it took over 10 minutes to get someone on the line that could help me."
36,"The booking fee is a phony ploy to enhance the total bill. It is a tactic used by unscrupulous cell phone providers and wifi providers. My experiences with Uber have been very positive but I really resent the cheap shot of adding a ""booking fee."" It is completely unnecessary, and uncalled for."
37,"My husband took an Uber from our job to come home, our job is one mile away and he was charged $11 dollars when it used to be $6. I’m so upset, I tried to get in touch with someone in Uber but you can’t. I don’t think is fair that they eat way with this."
38,"This company should be out of business... I returned to Uber after 1 1/2 years just to make a little money to pay a bill. I drover March 9 and 10 for about a 1 each day. I made $68.27. I needed the money fast to pay a bill on Monday March 11, I tried to cash out and they stop me from cashing out... They kept saying something was wrong with my bank information... How can that be when I've had the same bank information for over 5 years and the same as when I drove for them a year and a half ago."
39,I requested an Uber in London (as a tourist) to the airport. The driver missed the exit because he was distracted with his phone. We arrived 45 minutes late and were charged for the whole trip. I requested a refund but was only given Uber credits in £ to use in the UK. We don't live in the UK so we can't use them. I asked several times for the refund but they say they can't do more than give me credit.
40,Worst customer service. In Uber initial fare shown only rs. 45 after ride completes it shown as rs. 90 double the charge. So I trying to customer service but all numbers not reachable. Very worst service.
41,I placed an order on Uber Eats and the food never showed up but I was charged anyways. I called to tell the customer service reps but they ignored me. The food never showed up and now I can't eat my lunch because I gave my last money to eat today. This is completely unfair that my food never shows up and I still got charged! I want my 13 dollars back!
42,"So, it had been a while since I visited New York City. At LaGuardia Airport I wanted a cab to get to my destination in Brooklyn and the Yellow Cab drivers refused to take me. I had truly forgotten how racist the Yellow cab drivers were in NYC. BUT! Thank GOODNESS for Uber! Downloaded the app, got my ride and used Uber my entire stay in NYC. TO HELL WITH THE YELLOW CABS! UBER IS THE GREATEST!"
43,"Booked pickup. Driver went to wrong pickup point. Tried to reach Uber via phone. Did not recognize my phone number which is the correct number on account. Called twenty times. You can not get through as recording says that number is incorrect. Driver did not attempt to call me which he should have. Was charged cancellation fee plus ride. This is a system that has clearly failed. Initially appears to work but no transparency and no way of really getting through. Discount promised. Didn't see it. Emailed back after receiving receipt. Response from Uber: ""This email is not monitored."". I was a horrible experience not to be repeated. Unfortunately I won't use Uber again. Take a cab."
44,I have been driving for Uber for 4 weeks (to earn a extra money on weekends). After 3 weeks of not receiving my pay and numerous contacts to Uber partner help - I have received a customer service message that “due to security issue with my account” I must contact and reinput my banking information.” Which of course I did through the app from my iPad. The message was again that I had security issues. 
45,I use tons of apps daily and I've never seen such bad service from the Uber support team. They have stalled for weeks not accepting payment while every other app in my phone is working perfectly. They do not provide solutions and seem to be on permanent lunch break. I spend roughly $6000 a year on them and you'd think they would try to help. They simply don't care and ignore me. What a way to treat good paying customers in 2020. :)
46,Uber is the worst service provider ever. I booked a cab from Yeshwantput to Marathalli which cost 320-350 RS. The driver stopped the cab after few min in a highway and said he cannot go any further as the mode of payment was online and he doesn't have the money to put petrol. The trip cost me 80 RS and after then when I booked another cab I had to pay 550 so in total I had to pay more than 600 rs. I want to know who will pay the extra charge that I had to bear.
47,"I ordered an Uber around midnight, it said it was going to take 9 minutes so I waited, left the club with 1 min to spare, saw the car pull up, got in, only to be told the taxi wasn't for me - he hadn't even asked my name!. He said he wasn't taking me and to get out and drove away. I looked at my phone and it came up driver has cancelled. My original ride was going to cost £20. I tried to book another Uber and the price had been upped to £40-50!! I had to go home late at night on the tube with a walk at the other end which I didn't feel comfortable with. "
48,I am so upset with Uber service. After booking the driver asks where to go. If it is not convenient he cancels the ride. And it is too tough to get a ride. One has to wait for such a long time. Worst service.
49,"Uber drivers see my name and cancel rides all the time. I am a ** female. I don’t have a criminal background and I worked for Uber for some time about a year ago until I sold everything and moved to another city to continue my education. I have had rides cancel on me while I’m waiting for them to arrive. After Uber says they are en route to me. Here is where it gets really crazy. On top of that Uber charged me each time 5.00 for a cancellation fee. That the drivers canceled on me. I really read all about statistics showing that drivers are 4 time more likely to cancel rides with a person with a name that sounds like an ** name and so forth so I know this is the case. However, I find this so disheartening that Uber who knows it is people of all races keeping this business thriving is allowing this and topping it off with charging a 5.00 cancellation fee after you have been discriminated against. "
50,"My wife and daughter spent a couple of days in Belfast. They decided to use Uber on the 1st day. Hotel Etap to Primark, journey is roughly 1 mile and had the cheek to charge them £14. This is someone taking advantage of 2 women on a break. It took them 10 minutes to walk back to the hotel. Didn't even want to leave the 1 star but you can't give them zero. This behaviour is disgusting."
51,"I had a confirmed ride from Seaford NY to JFK, scheduled and confirmed the day before and morning of my ride. I saw the driver come onto the APP 20 minutes before my pickup. At exactly one minute before my ride was to arrive, I got a message they cancelled my ride, and saw my driver 30 minutes in the opposite direction. Every time I called the cell #, I got a Spanish recording. Uber was 100% unacceptable for leaving me stranded with no ride to the airport with no apology or excuse. I will never use them again, and LYFT is now getting all my business. I shared this story with everyone I know. I was not surprised to see their stock price falling and business tanking. That was deplorable customer service."
52,"Spent way too much time today setting up our Uber for Business account since several folks from our company are going to be traveling. Sounded like a great concept but after getting everything set up I was informed that they needed three days to process our account. Nowhere was there a mention of that and we've used Uber individually for a long time. So, tried to get some help and they just weren't too concerned or interested in trying to resolve the issue. So account is deactivated and we use another provider who seems to care a lot more about customer service. Just a warning..."
53,This is the first time I use Uber. I had no clue on how to use the app. Made the mistake of ordering service hours before I needed it. Uber sent two drivers. I was able to get the first before she got to my house and cancel without being charged. The second driver had no phone so I got charged for a canceling fee because he came to my house. There is no number for customers to call for help. All they have for customers is a frigging automated machine. Never using Uber again!!!
54,The most cunning app I have found so far. I took an Uber lets on Friday. It cost me 34.00 And then next day I requested for Uber the app says I have pending transaction even though I had money on my account. I requested for Lyft. I was able to reach my destination. Spoiler alert get your ** straight Uber. Call me **.
55,"Uber is not only an excellent service, it has been for me one of the most important service I can’t live without it, practical and all my experiences up to today very good, with very kind and respectful drivers."
56,"I'm going to share a story about why I will never use Uber again. A month ago, my Uber account was hacked. In fact, AMEX confirmed to me that they had SEVERAL people calling in to say their Uber accounts had been hacked that week. Nothing on the media - strange? Within a 4 day window, 118 rides were charged to my credit card in USD - each totaling over $120+ CAD... Resulting in $8,200 of wrongful charges to my AMEX (thankfully I have fraud protection on my CC, so it was on Uber's end to stop the charges). Even though I alerted Uber immediately when it happened, it took them 4 DAYS to STOP the charges from being incurred/charged to my card."
57,"Venmo sent me an email with a code for $10 off an Uber ride as a celebration for being able to use them as a payment method. I applied the code to my account, took a ride, the code didn't apply. I asked Uber support why and they said I had to make sure payment was on Venmo. Alright. I took another ride and made sure Venmo was my payment, still nothing. Contacted Uber support over 7 times and got answers ranging from, ""we don't know what ride you're talkkng about"", to ""select your payment method to apply credit"" to ""This code expired"", ""We're unable to refund or credit this ride"". Basically, they refuse the email fine print from Venmo and don't care that there was a promo code that was supposed to work on their platform. Very poor service."
58,"I was a frequent Uber customer, however after today I am so disgusted and disappointed to say the least with Uber. Long story short I typically take an Uber with my daughter when I am running late. Typically the ride is only 8.50 on average when it is raining the price goes up to about $12.50 as expected. I took an Uber this morning and I had a small spill of my coffee in the rubber carpet floor. I immediately told the driver and apologized as I was trying to put a seat belt in my daughter. He passed me one napkin and I tried to wipe it as best as possible."
59,Requested Uber to come to pick me up. The driver never showed up but they charged me cancelation fee! Scumbags! The driver never answered the phone. They just sent me the bill for cancelation! I didn't cancel it! UBER DID but they charged me regardless. AVOID LIKE PLAGUE!
60,Uber put my account on a 48 hour hold because I added new info to my account. Uber has not yet paid me my money. Feels like they are trying to hold on to it and not give it to me. Uber does not care about their drivers at all. Uber always feels the customer is right which is not the truth at all. Uber needs to get it together something serious.
61,My account was hacked and the hacker did rides fraud and charged 800 soles and Uber when I reported charged it too. My credit card 800 soles and after all the proof provided by me they agreed to give the money back and they mistakenly send it some unknown account not owned by me even though I reminded them my right account and now when I updated all my information they asked for dragging for 2 months and now when I was upset they decided not to return my money and block my account. Great way of robbing.
62,Uber allow only drivers who been approved thru their background check and follow all community guidelines which allows passengers to be feel free with ride Uber partnerships so both drivers and passengers comfortably taking care their business.
63,Made a great friendship from my first ride to my appt! She was so respectful and I could talk to her about anything! I could put my trust in. I miss her so much! She always was there when I needed her! Now I have moved back to Illinois and miss the rides and talks we shared! I hope someday I can get a ride from her and talk again soon! Your friend Mary.
64,"I do not drive. Mostly I walk. Since I fractured a bone in my foot, though, I haven’t been able to walk, not even to a train station or bus stop. I have been utilizing Uber and it has been a godsend - the drivers are polite, the cars new and sometimes even fancy. Other than a few navigational mistakes, my experience with Uber has been great. Gets a little pricey, though. Can’t wait to have my foot back!"
65,"We’re driving on White School Rd Sevierville 2:30, 4/8/19. Driver whipped around us splashing puddles of water everywhere. He was speeding. It was raining, and it was downright scary. A School bus was en route and this road has many curves. The UBER driver was unsafe and a danger to us, school children and everyone else on the road. I found it disturbing that nobody from UBER can be reached by phone, text or email. I think there is enough detail in my review. People need to be able to CONTACT CUSTOMER SERVICE REPS. I tried and got redirected to everything but the tooth fairy... TRY CALLING UBER TO REPORT A COMPLAINT FOLKS... Let me know what website you're redirected to."
66,"My initial issue with Uber started back in August 2018. My first attempt at opening an account was on August 2nd after attending a concert with my friend. Keep in mind, this was the FIRST time I have ever opened (or at least tried to open) an Uber account. After I provided the necessary information, I was given a big red error message saying that my account had been disabled. How my account had been disabled even though I never opened an account is beyond me. At any rate, I figured I'd go to the website they provided to reactivate my account. As I'm trying to do that, the request wasn't going through. After multiple attempts I gave up, and I had my friend download it and we were able to get home. "
67,"I ordered an Uber and the driver was very nice so I tipped him atter. I kept getting error messages while trying to tip saying that it wasn't going through. I waited a few minutes, tried again, and success. The next day I checked my bank account and saw that I was charged the tip twice. I messaged customer service and they credited the money to my Uber account. I wanted a refund because I rarely use Uber and I just wanted my money because I only authorized a one time tip. After many back and forth messages they still refused to refund my money. I will never use Uber again."
68,"I have had to cancel 2 credit cards because of multiple & repeated fraudulent charges by ""Uber Technologies"". While the the credit card company reversed the charges, I'm still put through the hassle of changing everything tied to the cards. The credit card company also advised me to contact Uber to complain, but Uber has NO CONSUMER SERVICE, NO EMAIL & NO TELEPHONE NUMBER to report this - unless you sign up with Uber & create an account (giving them credit card & personal info). There is no way I'm going to do that."
69,"Never had a dirty or unsafe car. Some drivers are more personal than others, but I have always felt safe and they have always been prompt and direct in their routes. Some of them have really nice cars too!"
70,Both of my Uber drivers were prompt. The conversation was great! They made my ride very pleasant and enjoyable. Also my car was down at the time and they were a big help!
71,No problems gate codes or other info they need when getting the ride as long as I check what the app says my location is versus just pinpointing through app. Can always send note to driver to correct or clarify location.
72,"On January 18, 2020, I made a ½ hour trip with Uber near Quito, Ecuador. The agreed fee was $ 8.95. The same night, Uber charged me $71.58 on my Visa card. The email receipt showed a map with a trip I did not take. It appears that my driver, Franklin **, continued driving and charged me for the extra trip. When I contacted Uber (submitting all the details as requested in the app), they deleted my account, saying they had detected some irregularities. I have been trying for days to resolve this issue, including attempts to reactivate my account, but the app won’t let me. I continue to get the same automated responses by email, directing me to use the app (which I can't do). There is no phone number, so I have no recourse to getting a refund. Although in this case it appears the driver was fraudulent, it is unacceptable that Uber provides no method for resolving the issue. BEWARE OF UBER. I will probably never use them again."
73,On Thursday 27/06/19 I lost my wallet with a significant amount of cash and important identity cards and ATMs. Tried to call Uber. There are no customer helplines. Uber allows to connect to drivers but the driver had picked other rides and so that leaves me knowing that the next rider might have taken up the wallet but I can't do anything about it.
74,"I loved Uber from the start. Until my recent experience trying get an issue resolved through their customer service team. I have since decided to part ways from Uber. I have never had issue or pay disputes or bad reviews with any uber. I believe when I bought my new phone (new number) and downloaded the uber app on this new phone, somehow my payment method was blacklisted from uber and my uber app privileges revoked. Keep in mind there is really is no help or support after you been flagged by this. I am extremely disappointed the by the way their tech team gave me vague response and lack of resolution to my situation. If this is the way they treat faithful customers I want no part of building their business."
75,"I used to absolutely love Uber and took daily trips to and from but I swear this year both Uber and Lyft's prices have skyrocket. Even riding pool has gone up tremendously. It's crazy that people have now decided to pay co workers weekly to carpool with them rather than get an Uber. More people are going to go back to trains and buses in order to save money to get to and from work. Either that, or go ahead and get a car because you'll end up paying a car payment anyway riding daily with this company if not more."
76,"In June, I ordered an Uber car to pick someone up at Marseilles Train Station and bring them to an address that was one hour away. The screenshot of their quote showed that the cost would be between 192 and 254 Euros. There was absolutely no mention of a surcharge. They then charged me 471.02 Euros ($742.47 CA) saying the ride was at a high traffic time. It was 10:30 pm at an almost deserted train station. "
77,It always shows as 5 min for arrival before booking the cab. As soon you I book the cab it takes 15-20 mins for the arrival. It still shows 12 mins arrival. You will not get to cancel the ride even because they charge cancellation fee for that. Always it has been a Worst experience.
78,"I ordered myself for a ride about 10 blocks away from my home to a restaurant knowing I would be consuming alcohol. They offered me a discounted ride to walk to the corner of my block for pickup. I agreed to that. Once I confirmed my ride, I was notified I would be dropped off about 4 blocks away from the restaurant. I never agreed to that. That part was not advertised. That area is unsafe being is next to a highway ramp with no crosswalks or traffic signals to get to my destination. So I immediately canceled the ride. "
79,"I haven't used Uber in a couple of years. I was recently asked by my employer to activate Uber for business and link my personal account. The last time I attempted to log in to the Uber app, it wouldn't accept my password. I attempted to reset it, but never received the verification texts they sent me so I could not. I have since gotten new phone number and so I had no way to receive their verification texts. I contacted customer service and they responded with a generic reply asking for the same information I sent them in the help form. I replied giving them this information again and explaining that I could not get the verification texts so I could not reset my password. They asked me to provide a screenshot of the phone number on my phone, which I did, and then they replied saying it didn't match their records. Of course it didn't match their records! I already told them that. "
80,"In my most recent requests for an Uber Ride here in April 2019, I was quoted a price on the app, and the final charge to my card was nearly twice the amount. I was completely shocked, felt deceived, and was completely blindsided. Their advertisement stating that you will know your price before requesting your ride is not true and misleading. Additionally, I was charged a “wait fee” on these requests. How can I be charged a wait fee when I was standing at the curb when the driver pulled up? I will no longer use Uber for a ride, and will give my business to Lyft."
